place_id,reviewTags,count
218,marble,1
218,nature,1
218,snow,1
218,sunset,1
218,the hill,1
219,architecture,1
219,beautiful,1
219,era,1
219,government,1
219,haunted,1
219,heritage,1
219,mall,1
219,palace,1
219,property,1
219,renovation,1
220,altitude,1
220,beautiful,1
220,comic,1
220,driving,1
220,experience,1
220,feeling,1
220,monastery,1
220,peaceful,1
220,restaurant,1
220,snow,1
221,1948,1
221,1963,1
221,boating,1
221,engineering,1
221,gravity dam,1
221,hydroelectricity,1
221,jawaharlal nehru,1
221,nation,1
221,prime minister of india,1
221,reservoir,1
222,12th century,1
222,beautiful,1
222,history,1
222,horse riding,1
222,lake,1
222,naga,1
222,nature,1
222,pandavas,1
222,weather,1
222,wood,1
223,0,9
223,animals,1
224,0,8
224,historical,1
224,renovation,1
225,beautiful,1
225,boating,1
225,chanda and munda,1
225,eye,1
225,holi,1
225,mountains,1
225,renovation,1
225,shaktipeeth,1
225,stream,1
225,weather,1
226,above sea level,1
226,commando,1
226,horse riding,1
226,march,1
226,mule,1
226,riding horse,1
226,snow,1
226,telescope,1
226,the hill,1
226,yak,1
227,adventure,1
227,beautiful,1
227,clean,1
227,hike,1
227,peaceful,1
227,rocks,1
227,trek,1
227,valley,1
227,village,1
227,waterfalls,1
228,0,4
228,beautiful,1
228,boating,1
228,dam,1
228,feeling,1
228,nature,1
228,trip,1
229,0,4
229,adventurous,1
229,beautiful,1
229,peace,1
229,trek,1
229,village,1
229,waterfall,1
230,army,1
230,cantonment,1
230,clouds,1
230,hill station,1
230,peaceful,1
230,sukhna lake,1
230,sunrise,1
230,swings,1
230,trek,1
230,tuck shop,1
231,0,10
232,above sea level,1
232,goggles,1
232,himachal road transport corporation,1
232,mall road,1
232,monkeys,1
232,ridge,1
232,ropeway,1
232,sanjeevani,1
232,snow,1
232,trek,1
233,0,1
233,beautiful,1
233,magical,1
233,name,1
233,nature,1
233,peace,1
233,stars,1
233,trekking,1
233,trip,1
233,weather,1
234,bridge,1
234,cafe,1
234,maggi,1
234,mall,1
234,market,1
234,stream,1
234,trek,1
234,waste,1
234,water fall,1
234,zip line,1
235,altitude,1
235,balcony,1
235,bollywood,1
235,corporation,1
235,hotel,1
235,mountains,1
235,panoramic view,1
235,photoshoot,1
235,song,1
235,waste,1
236,apple,1
236,bank,1
236,beautiful,1
236,heaven,1
